STT,Bảng,Cột,Loại vấn đề,Mô tả trong tài liệu thiết kế,Thực tế trên CSDL UAT,Câu hỏi cần làm rõ,Trạng thái
247,APPLICATION_GROUPS,GROUP_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
248,APPLICATION_GROUPS,NOTES,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
249,APPLICATION_GROUP_MEMBERS,NOTES,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
250,APPLICATION_HISTORIES,RECEIVER_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
251,APPLICATION_HISTORIES,TITLE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
252,APPLICATION_LOGS,DETAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
253,APPLICATION_PROFESSIONALS,ADDRESS,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
254,APPLICATION_PROFESSIONALS,AVATAR,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
255,APPLICATION_PROFESSIONALS,BIRTH_YEAR,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(4 CHAR),NVARCHAR2(8),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
256,APPLICATION_PROFESSIONALS,DEPARTMENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
257,APPLICATION_PROFESSIONALS,EMAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
258,APPLICATION_PROFESSIONALS,FIRST_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
259,APPLICATION_PROFESSIONALS,FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
260,APPLICATION_PROFESSIONALS,IDENTITY_ISSUE_PLACE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
261,APPLICATION_PROFESSIONALS,IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
262,APPLICATION_PROFESSIONALS,MOBILE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
263,APPLICATION_PROFESSIONALS,PASSWORD,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
264,APPLICATION_PROFESSIONALS,PERMANENT_ADDRESS,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
265,APPLICATION_PROFESSIONALS,PHONE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
266,APPLICATION_PROFESSIONALS,PLACE_OF_BIRTH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
267,APPLICATION_PROFESSIONALS,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
268,APPLICATION_PROFESSIONALS,PREVIOUS_IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
269,APPLICATION_PROFESSIONALS,USERNAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
270,APPLICATION_PROFESSIONALS,WORKPLACE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
271,APPLICATION_SOURCES,CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
272,APPLICATION_SOURCES,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
273,APPLICATION_SOURCES,LABEL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(250 CHAR),NVARCHAR2(500),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
274,APPLICATION_SPECIALIZATIONS,ISSUE_PLACE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
275,APPLICATION_SPECIALIZATIONS,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
276,APPLICATION_STATUSES,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
277,APPLICATION_STATUSES,LABEL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(250 CHAR),NVARCHAR2(500),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
278,APPLICATION_STATUSES,STATUS_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
279,APPLICATION_STATUSES,STATUS_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(250 CHAR),NVARCHAR2(500),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
280,APPLICATION_SUPPLEMENTS,CONTENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
281,AUTO_INCREMENT_CODES,CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(10 CHAR),NVARCHAR2(20),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
282,BACKUPS,FILE_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
283,BACKUPS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
284,BACKUP_SCHEDULES,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
285,BANKS,BANK_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
286,BANKS,BANK_KEY,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
287,BANKS,BANK_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
288,BANKS,ENGLISH_BANK_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
289,BANKS,SHORT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
290,CERTIFICATES,CERTIFICATE_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
291,CERTIFICATES,CERTIFICATE_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
292,CERTIFICATES,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(250 CHAR),NVARCHAR2(500),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
293,CERTIFICATE_ARCHIVES,ARCHIVE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
294,CERTIFICATE_ARCHIVES,CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
295,CERTIFICATE_ARCHIVES,IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
296,CERTIFICATE_ARCHIVES,INTRODUCTION_LETTER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
297,CERTIFICATE_ARCHIVES,INTRODUCTION_LETTER_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
298,CERTIFICATE_ARCHIVES,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
299,CERTIFICATE_ARCHIVES,RECIPIENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
300,CERTIFICATE_CONVERSION_REQUESTS,NOTES,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
301,CERTIFICATE_DOCUMENTS,FORMAT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
302,CERTIFICATE_NUMBER_TEMPLATES,CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(10 CHAR),NVARCHAR2(20),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
303,CERTIFICATE_RECORDS,CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
304,CERTIFICATE_RECORDS,CER_PATH,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(500 CHAR),VARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
305,CERTIFICATE_RECORDS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
306,CERTIFICATE_RECORDS,PROFESSIONAL_FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
307,CERTIFICATE_RECORDS,REVOCATION_REASON,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
308,CERTIFICATE_RECORD_GROUPS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
309,CERTIFICATE_RECORD_GROUPS,GROUP_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
310,CERTIFICATE_RECORD_GROUPS,NOTES,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
311,CERTIFICATE_RECORD_GROUP_MEMBERS,REVOCATION_REASON,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
312,CERTIFICATE_RECORD_LOGS,ACTION_TYPE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
313,CERTIFICATE_RECORD_LOGS,CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
314,CERTIFICATE_RECORD_LOGS,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
315,CERTIFICATE_RECORD_STATUS_HISTORIES,REASON,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
316,CERTIFICATE_RECORD_STATUS_HISTORIES,UPDATE_TYPE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
317,COUNTRIES,COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
318,COUNTRIES,COUNTRY_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
319,DECISIONS,FILE_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
320,DECISIONS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
321,DECISIONS,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
322,DECISIONS,REFERENCE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
323,DECISIONS,TITLE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
324,DECISION_DOCUMENTS,DECISION_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
325,DECISION_DOCUMENTS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
326,DECISION_DOCUMENTS,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
327,DECISION_DOCUMENTS,SIGNED_BY,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
328,DEPARTMENTS,DEPARTMENT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
329,DEPARTMENTS,DEPARTMENT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
330,DEPARTMENTS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
331,DIGITAL_CERTIFICATES,COMPANY_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
332,DIGITAL_CERTIFICATES,EMAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
333,DIGITAL_CERTIFICATES,ISSUER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
334,DIGITAL_CERTIFICATES,SERIAL_NUMBER,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(100 CHAR),VARCHAR2(400),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
335,DIGITAL_CERTIFICATES,SUBJECT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1000 CHAR),NVARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
336,DIGITAL_CERTIFICATES,TAX_CODE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(50 CHAR),VARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
337,DIGITAL_CERTIFICATES,THUMBPRINT,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(100 CHAR),VARCHAR2(400),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
338,DIGITAL_CERTIFICATE_USERS,NOTES,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
339,DIGITAL_CERTIFICATE_USERS,ROLE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(50 CHAR),VARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
340,DISTRICTS,DISTRICT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
341,DISTRICTS,DISTRICT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
342,DOCUMENTS,DOCUMENT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
343,DOCUMENTS,DOCUMENT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
344,DOCUMENTS,MCDT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
345,DOCUMENT_SIGN_LOGS,HASH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(510 CHAR),NVARCHAR2(1020),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
346,EDUCATION_LEVELS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
347,EDUCATION_LEVELS,LEVEL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
348,EMAIL_LOGS,EMAIL_TO,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1000 CHAR),NVARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
349,EMAIL_LOGS,SUBJECT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
350,EXAM_DETAILS,EXAM_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
351,EXAM_DETAILS,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
352,EXAM_SESSIONS,APPLICATION_END_DATE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(200 CHAR),VARCHAR2(800),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
353,EXAM_SESSIONS,APPLICATION_START_DATE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(200 CHAR),VARCHAR2(800),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
354,EXAM_SESSIONS,BANK_ACCOUNT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
355,EXAM_SESSIONS,BANK_ACCOUNT_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
