path,name,description,description_vi
Business Scopes >> Capital Markets >> Capital Markets - Business Activity & Transaction Fundamentals,Capital Markets - Business Activity & Transaction Fundamentals,A Business Scope that specifies the main terms involved in the support of Capital Markets - Business Activity & Transaction Fundamentals.,[Auto] Phạm vi kinh doanh chỉ định các điều khoản chính liên quan đến việc hỗ trợ Thị trường vốn - Nguyên tắc cơ bản về hoạt động kinh doanh và giao dịch.
Business Scopes >> Capital Markets >> Capital Markets - Debt & Equity Fundamentals,Capital Markets - Debt & Equity Fundamentals,A Business Scope that specifies the main terms involved in the support of Capital Markets - Debt & Equity Fundamentals.,[Auto] Phạm vi kinh doanh chỉ định các điều khoản chính liên quan đến việc hỗ trợ Thị trường vốn - Nguyên tắc cơ bản về nợ và vốn chủ sở hữu.
Business Scopes >> Capital Markets >> Capital Markets - Involved Party Fundamentals,Capital Markets - Involved Party Fundamentals,A Business Scope that specifies the main terms involved in the support of Capital Markets -  Involved Party Fundamentals.,[Auto] Phạm vi kinh doanh chỉ định các điều khoản chính liên quan đến việc hỗ trợ Thị trường vốn - Nguyên tắc cơ bản của các bên liên quan.
Business Scopes >> Capital Markets >> Capital Markets View,Capital Markets View,"A Business Scope that specifies the main terms supporting the management and review of the Capital Markets area of the Financial Services business. The Business Scope includes the terms describing the Debt and Equity Instruments and portfolios, the communications, transactions and rating events, the arrangements such as Trading and Settlement Account Arrangements and the various Involved Parties such as Exchanges and Special Purpose Entities.","[Auto] Phạm vi kinh doanh chỉ định các điều khoản chính hỗ trợ việc quản lý và xem xét lĩnh vực Thị trường vốn của hoạt động kinh doanh Dịch vụ tài chính. Phạm vi Kinh doanh bao gồm các điều khoản mô tả các Công cụ Nợ và Vốn chủ sở hữu cũng như danh mục đầu tư, các sự kiện liên lạc, giao dịch và xếp hạng, các thỏa thuận như Thỏa thuận Tài khoản Giao dịch và Thanh toán cũng như các Bên liên quan khác nhau như Sở giao dịch và các Thực thể có Mục đích Đặc biệt."
Business Scopes >> Channel Usage,Channel Usage,"A Business Scope that specifies the main terms supporting analysis of the activity on communication and transport channels by various parties, including customers and the Financial Institution, in order to accomplish a specific purpose.","[Auto] Phạm vi kinh doanh chỉ định các điều khoản chính hỗ trợ phân tích hoạt động trên các kênh liên lạc và vận chuyển của các bên khác nhau, bao gồm cả khách hàng và Tổ chức tài chính, nhằm đạt được một mục đích cụ thể."
Business Scopes >> Communication Management,Communication Management,"A Business Scope that specifies the main terms describing the exchange of information between the Financial Institution and its Involved Parties. It includes terms related to communication activities and the Transactions, Complaints, Financial Market Orders, etc. that initiate or result from those communications.","[Auto] Phạm vi kinh doanh nêu rõ các điều khoản chính mô tả việc trao đổi thông tin giữa Tổ chức tài chính và các Bên liên quan của nó. Nó bao gồm các điều khoản liên quan đến hoạt động truyền thông và Giao dịch, Khiếu nại, Lệnh thị trường tài chính, v.v. bắt đầu hoặc là kết quả của những thông tin liên lạc đó."
Business Scopes >> Credit Card View,Credit Card View,"A Business Scope that specifies the main terms relating to payment cards, credit facilities and servicing used to support Credit Cards.","[Auto] Phạm vi Kinh doanh quy định cụ thể các điều khoản chính liên quan đến thẻ thanh toán, phương tiện tín dụng và dịch vụ được sử dụng để hỗ trợ Thẻ Tín dụng."
Business Scopes >> Credit Card View >> Credit Card - Business Activities And Transactions,Credit Card - Business Activities And Transactions,A Business Scope that specifies the main terms relating to Business Activities and Transactions relevant to Credit Cards.,[Auto] Phạm vi Kinh doanh quy định cụ thể các điều khoản chính liên quan đến Hoạt động Kinh doanh và Giao dịch liên quan đến Thẻ Tín dụng.
Business Scopes >> Credit Card View >> Credit Card - Product and Arrangement,Credit Card - Product and Arrangement,"A Business Scope that specifies the main terms relating to products, payment cards, credit facilities and servicing used to support Credit Cards.","[Auto] Phạm vi Kinh doanh quy định cụ thể các điều khoản chính liên quan đến sản phẩm, thẻ thanh toán, phương tiện tín dụng và dịch vụ được sử dụng để hỗ trợ Thẻ Tín dụng."
Business Scopes >> Credit Card View >> Credit Card Overview,Credit Card Overview,"A high level overview Business Scope that specifies the main concept terms relating to the Financial Institution's Credit Card products, including the specific arrangements with Customers and the transactions representing the financial movements on the arrangements.","[Auto] Tổng quan cấp cao Phạm vi kinh doanh chỉ rõ các thuật ngữ khái niệm chính liên quan đến các sản phẩm Thẻ Tín dụng của Tổ chức Tài chính, bao gồm các thỏa thuận cụ thể với Khách hàng và các giao dịch thể hiện các chuyển động tài chính trong các thỏa thuận đó."
Business Scopes >> Credit Cards,Credit Cards,"A Business Scope that groups terms describing characteristics of the Financial Institution's Credit Card products, including the specific arrangements with Customers and the transactions representing the financial movements on the arrangements such as purchases and interest charges.

Attribution - Do Not Remove
This category contains content from ISO 20022 Message Definitions and ISO 20022 External Code Sets.
This is not an official site for ISO 20022 Message Standards and External Code Sets. The sole source of up-to-date materials and information on ISO 20022 Message Standards, External Code Sets and Repository is https://www.iso20022.org/.
End of Attribution","[Auto] Phạm vi Kinh doanh bao gồm các thuật ngữ mô tả đặc điểm của các sản phẩm Thẻ Tín dụng của Tổ chức Tài chính, bao gồm các thỏa thuận cụ thể với Khách hàng và các giao dịch thể hiện các chuyển động tài chính trong các thỏa thuận như mua hàng và lãi suất.

Ghi công - Không xóa
Danh mục này chứa nội dung từ Định nghĩa thông báo ISO 20022 và Bộ mã bên ngoài ISO 20022.
Đây không phải là trang web chính thức về Tiêu chuẩn thông báo ISO 20022 và Bộ mã bên ngoài. Nguồn tài liệu và thông tin cập nhật duy nhất về Tiêu chuẩn thông báo ISO 20022, Bộ mã bên ngoài và Kho lưu trữ là https://www.iso20022.org/.
Kết thúc ghi công"
Business Scopes >> Credit Risk Mitigation,Credit Risk Mitigation,"A Business Scope that groups terms supporting the assessment of the risk of credit loss to the Financial Institution, and the mitigants in place to reduce the risk of such potential losses. This includes terms relating to credit Arrangements, Netting and Security Arrangements (including guarantees and collateral) and Risk Portfolios used to group them in order to assess risk levels based on factors such as level of exposure, maturity of lending Arrangements, Collateral valuations and restrictions, and Involved Parties.

Attribution - Do Not Remove

This category includes some Basel material. 
Basel material is © Bank for International Settlements (""BIS""). All rights reserved.
Basel material is available on the BIS website free of charge: www.bis.org.
Neither the BIS nor the Basel Committee on Banking Supervision:
(a) is liable for the IBM release
(b) has reviewed it or
(c) endorses it.
Neither the BIS nor the Basel Committee on Banking Supervision warrants or guarantees the accuracy, completeness, or fitness for purpose of the BIS material contained in any IBM information model; or shall in any circumstances be liable for any loss, damage, liability or expense suffered by any person in connection with reliance by that person on any such BIS material.
Where any IBM information model (or part thereof) has been translated from English into any other language, such translation is not an official BIS translation.

This category includes some Comprehensive Capital Analysis and Review (CCAR) material.
CCAR documentation is published by United States Federal Reserve and is available from https://www.federalreserve.gov/reportforms/forms/FR_Y-14M20160630_f.pdf

This category contains content from ISO 20022 Message Definitions and ISO 20022 External Code Sets.
This is not an official site for ISO 20022 Message Standards and External Code Sets. The sole source of up-to-date materials and information on ISO 20022 Message Standards, External Code Sets and Repository is https://www.iso20022.org/.

End of Attribution","[Auto] Phạm vi kinh doanh bao gồm các thuật ngữ hỗ trợ việc đánh giá rủi ro tổn thất tín dụng đối với Tổ chức tài chính và các biện pháp giảm nhẹ nhằm giảm thiểu rủi ro về những tổn thất tiềm ẩn đó. Điều này bao gồm các điều khoản liên quan đến Thỏa thuận tín dụng, Thỏa thuận ròng và bảo đảm (bao gồm bảo lãnh và tài sản thế chấp) và Danh mục rủi ro được sử dụng để nhóm chúng nhằm đánh giá mức độ rủi ro dựa trên các yếu tố như mức độ rủi ro, thời hạn của Thỏa thuận cho vay, định giá và hạn chế tài sản thế chấp, và các Bên liên quan.

Ghi công - Không xóa

Thể loại này bao gồm một số tài liệu Basel. 
Tài liệu cơ bản là © Ngân hàng Thanh toán Quốc tế (""BIS""). Mọi quyền được bảo lưu.
Tài liệu Basel được cung cấp miễn phí trên trang web của BIS: www.bis.org.
Cả BIS và Ủy ban Basel về Giám sát Ngân hàng đều không:
(a) chịu trách nhiệm về việc phát hành của IBM
(b) đã xem xét nó hoặc
(c) xác nhận nó.
Cả BIS lẫn Ủy ban Basel về Giám sát Ngân hàng đều không đảm bảo hay đảm bảo tính chính xác, đầy đủ hoặc phù hợp cho mục đích của tài liệu BIS có trong bất kỳ mô hình thông tin nào của IBM; hoặc trong mọi trường hợp sẽ phải chịu trách nhiệm pháp lý về mọi tổn thất, thiệt hại, trách nhiệm pháp lý hoặc chi phí mà bất kỳ người nào phải gánh chịu liên quan đến việc người đó tin cậy vào bất kỳ tài liệu BIS nào như vậy.
Khi bất kỳ mô hình thông tin nào của IBM (hoặc một phần của nó) đã được dịch từ tiếng Anh sang bất kỳ ngôn ngữ nào khác thì bản dịch đó không phải là bản dịch chính thức của BIS.

Danh mục này bao gồm một số tài liệu Phân tích và Đánh giá Vốn Toàn diện (CCAR).
Tài liệu CCAR được Cục Dự trữ Liên bang Hoa Kỳ xuất bản và có sẵn tại https://www.federalreserve.gov/reportforms/forms/FR_Y-14M20160630_f.pdf

Danh mục này chứa nội dung từ Định nghĩa thông báo ISO 20022 và Bộ mã bên ngoài ISO 20022.
Đây không phải là trang web chính thức về Tiêu chuẩn thông báo ISO 20022 và Bộ mã bên ngoài. Nguồn tài liệu và thông tin cập nhật duy nhất về Tiêu chuẩn thông báo ISO 20022, Bộ mã bên ngoài và Kho lưu trữ là https://www.iso20022.org/.

Kết thúc ghi công"
Business Scopes >> Credit Risk Mitigation Financial Review,Credit Risk Mitigation Financial Review,"A Business Scope that specifies the main terms supporting the assessment of the financial position of Credit Risk Portfolios and Security Arrangements. The Business Scope includes the terms describing the Security Arrangements, guarantees and collateral types, restrictions & amounts, valuations, netting amounts, portfolios and Involved Parties.","[Auto] Phạm vi kinh doanh quy định cụ thể các điều khoản chính hỗ trợ việc đánh giá tình hình tài chính của Danh mục rủi ro tín dụng và Thỏa thuận bảo đảm. Phạm vi Kinh doanh bao gồm các điều khoản mô tả Thỏa thuận Bảo đảm, các loại bảo lãnh và tài sản thế chấp, các hạn chế và số tiền, định giá, số tiền ròng, danh mục đầu tư và các Bên liên quan."
Business Scopes >> Customer View,Customer View,"These Business Scopes identify terms in the Knowledge Accelerator for Financial Services (KAFS) vocabulary for supporting Customer Insight, analysis and review.","[Auto] Các Phạm vi kinh doanh này xác định các thuật ngữ trong từ vựng của Công cụ tăng tốc kiến ​​thức cho dịch vụ tài chính (KAFS) để hỗ trợ Thông tin chi tiết, phân tích và đánh giá của Khách hàng."
Business Scopes >> Customer View >> Customer Arrangement Overview,Customer Arrangement Overview,"A high level overview Business Scope that specifies the main concept terms relating to the life cycle of a Financial Institution's Customers, and the products, services and arrangements between them.","[Auto] Tổng quan cấp cao Phạm vi kinh doanh chỉ rõ các thuật ngữ khái niệm chính liên quan đến vòng đời của Khách hàng của Tổ chức Tài chính cũng như các sản phẩm, dịch vụ và thỏa thuận giữa họ."
Business Scopes >> Customer View >> Customer Arrangements,Customer Arrangements,"A Business Scope that specifies the main terms relating to the life cycle of a Financial Institution's Customers, and the products, services and arrangements between them.","[Auto] Phạm vi Kinh doanh chỉ định các điều khoản chính liên quan đến vòng đời của Khách hàng của Tổ chức Tài chính cũng như các sản phẩm, dịch vụ và thỏa thuận giữa họ."
Business Scopes >> Customer View >> Customer Insight - Contact Center Optimization,Customer Insight - Contact Center Optimization,"The purpose of this Scope is to specify terms in the Knowledge Accelerator for Financial Services (KAFS) vocabulary for supporting customer insight for the optimization of contact centers. This Scope is intended to be a sample only and does not include all possible data that can be used for customer insight.

Note:
See the Contact Center Analytics Scope for input to contact center reporting applications

See Customer Complaints Analysis Scope for the analysis of complaints and the effectiveness of the resolution process.","[Auto] Mục đích của Phạm vi này là chỉ định các thuật ngữ trong từ vựng Công cụ tăng tốc kiến ​​thức cho dịch vụ tài chính (KAFS) để hỗ trợ hiểu biết sâu sắc về khách hàng nhằm tối ưu hóa các trung tâm liên hệ. Phạm vi này chỉ nhằm mục đích mẫu và không bao gồm tất cả dữ liệu có thể được sử dụng để hiểu rõ hơn về khách hàng.

Lưu ý:
Xem Phạm vi phân tích của Trung tâm liên hệ để biết thông tin đầu vào cho các ứng dụng báo cáo của trung tâm liên hệ

Xem Phạm vi phân tích khiếu nại của khách hàng để biết phân tích khiếu nại và tính hiệu quả của quy trình giải quyết."
Business Scopes >> Customer View >> Customer Insight - Customer Lifetime Value,Customer Insight - Customer Lifetime Value,"The purpose of this Scope is to provide explicit coverage in the Knowledge Accelerator for Financial Services (KAFS) vocabulary for supporting the interoperability of non-reporting Customer Lifetime Value applications.

These non-reporting applications request input data items, process these inputs and produce outputs. 

Potential inputs to a Customer Lifetime Value non-reporting application are presented in the below hierarchy:

Customer Lifetime Value Non-Reporting Application Inputs
------------------------------------------------------------------------------------------
     Product
          Product Type
          Product Cost Segment
          Product Profitability Segment
     Involved Party
          Involved Party Type
          Individual
          Organization
     Location
          Geographic Area
          State
          City
     Campaign
     Campaign Activity
          Campaign Activity Cost Amount
     Channel
          Channel Type

The above hierarchy represents a sample generic list of data items which may be required as input to a non-reporting Customer Lifetime Value application.  

Upon activation of this ""Customer Insight - Customer Lifetime Value"" Scope, a more complete listing can be seen. For the development of this Scope we focused on the needs of a specific application entitled ""Cross Channel Optimized Marketing"".

""Cross Channel Optimized Marketing"", CCOM, is an application, developed by IBM, which uses Markov Decision Processing (MDP) to produce optimized Customer Lifetime Value targeting rules of the form:

     If Customer is in State ""S"", then take the marketing Action ""A"".

CCOM runs an iterative regression procedure (called value iteration) on historical data, and via the MDP modeling, estimates the Value function (which corresponds to the Customer Lifetime Value), as a function of features and actions.   

This estimation process is more effective than an approach that builds on existing short term propensity models.  Furthermore, since the Lifetime Value (V) is estimated as a function of features (s) and actions (a),  it is easy to translate them into actionable rules that map a given feature vector, s, into that action, a, having the maximum Lifetime Value V(s,a).   

The resulting actionable rules (mapping S to A) converge to near optimal rules, where optimality means that if the rules are continuously applied over time, the long term value will be maximized.  This is a logical leap made possible by using the MDP approach. 

Inputs to CCOM application:
The CCOM application consists of four key screens:
1. Data Preparation
2. Reinforcement Learning
3. CCOM Rules
4. Evaluation

1. Data Preparation: The data preparation GUI allows the user specify various parameters in the data preparation process including the:
 a. Database Driver
 b. Database URL
 c. Database username and password
 d. Sampling rate

2. Reinforcement Learning: The reinforcement learning GUI allows the user specify various parameters involved in the reinforcement learning module including:
a. Number of iterations
b. Decay constant
c. Learning rate
d. Approximation method
e. Initialization method
f. Number of customers
g. Number of campaigns
h. Other data files

3. CCOM Rules: The CCOM Rule GUI enables generated rules to be displayed by accuracy, by coverage, and by canonical ordering.  Displayed rules can also be selected by predicted marketed action, by features, by minimum accuracy and by minimum coverage.

4. Evaluation: The Evaluation GUI enables the user to specify various parameters involved in the evaluation of CCOM rules such as:
a. The method used for evaluation
b. Size of test population used for evaluation
c. Desired statistical confidence on evaluation results.


Outputs from the CCOM application:
The output from the CCOM Application comes in the form of a rule which is an SQL instruction for the Financial Institution to apply to their data warehouse.

CCOM was chosen as the sample Customer Lifetime Value non-reporting application in the development of this Scope as a result of the following key differentiators:
- Automatic generation of targeting rules purely from data analysis. 
- Optimization of targeting rules with respect to Customer Lifetime Value maximization, across multi-channels.
- Simple If-Then style rules compatible with existing rules engines.
- Maximizes customer loyalty without explicitly measuring loyalty.

Note on ""Customer Insight - Customer Lifetime Value"" Scope 
This Scope is primarily built to provide input to non-reporting applications. For input to reporting applications we recommend the use of the ""Customer Lifetime Value Analysis"" Business Performance Indicator.","[Auto] Mục đích của Phạm vi này là cung cấp phạm vi bao quát rõ ràng trong từ vựng Công cụ tăng tốc tri thức cho dịch vụ tài chính (KAFS) để hỗ trợ khả năng tương tác của các ứng dụng Giá trị lâu dài của khách hàng không báo cáo.

Các ứng dụng không báo cáo này yêu cầu các mục dữ liệu đầu vào, xử lý các đầu vào này và tạo ra đầu ra. 

Đầu vào tiềm năng cho ứng dụng không báo cáo Giá trị lâu dài của khách hàng được trình bày theo hệ thống phân cấp bên dưới:

Giá trị trọn đời của khách hàng Đầu vào ứng dụng không báo cáo
------------------------------------------------------------------------------------------
     sản phẩm
          Loại sản phẩm
          Phân đoạn giá thành sản phẩm
          Phân khúc lợi nhuận của sản phẩm
     Bên liên quan
          Loại bên liên quan
          Cá nhân
          Tổ chức
     Vị trí
          Khu vực địa lý
          tiểu bang
          Thành phố
     Chiến dịch
     Hoạt động chiến dịch
          Số tiền chi phí hoạt động chiến dịch
     Kênh
          Loại kênh

Hệ thống phân cấp ở trên thể hiện một danh sách chung mẫu gồm các mục dữ liệu có thể được yêu cầu làm đầu vào cho ứng dụng Giá trị trọn đời của khách hàng không báo cáo.  

Khi kích hoạt Phạm vi ""Thông tin chi tiết về khách hàng - Giá trị lâu dài của khách hàng"" này, bạn có thể thấy danh sách đầy đủ hơn. Để phát triển Phạm vi này, chúng tôi tập trung vào nhu cầu của một ứng dụng cụ thể có tên ""Tiếp thị được tối ưu hóa trên nhiều kênh"".

""Tiếp thị được tối ưu hóa qua kênh"", CCOM, là một ứng dụng do IBM phát triển, sử dụng Xử lý quyết định Markov (MDP) để tạo ra các quy tắc nhắm mục tiêu Giá trị trọn đời của khách hàng được tối ưu hóa có dạng:

     Nếu Khách hàng ở Trạng thái ""S"", thì hãy thực hiện Hành động tiếp thị ""A"".

CCOM chạy quy trình hồi quy lặp lại (được gọi là lặp lại giá trị) trên dữ liệu lịch sử và thông qua mô hình MDP, ước tính hàm Giá trị (tương ứng với Giá trị trọn đời của khách hàng), dưới dạng hàm của các tính năng và hành động.   

Quá trình ước tính này hiệu quả hơn cách tiếp cận dựa trên các mô hình xu hướng ngắn hạn hiện có.  Hơn nữa, vì Giá trị lâu dài (V) được ước tính là hàm của (các) tính năng và hành động (a), nên có thể dễ dàng chuyển chúng thành các quy tắc có thể thực hiện được để ánh xạ vectơ đặc tính nhất định, s, vào hành động đó, a, có Giá trị lâu dài tối đa V(s,a).   

Các quy tắc có thể hành động thu được (ánh xạ S đến A) hội tụ đến các quy tắc gần tối ưu, trong đó tính tối ưu có nghĩa là nếu các quy tắc được áp dụng liên tục theo thời gian thì giá trị dài hạn sẽ được tối đa hóa.  Đây là một bước nhảy vọt hợp lý có thể thực hiện được bằng cách sử dụng phương pháp MDP. 

Đầu vào cho ứng dụng CCOM:
Ứng dụng CCOM bao gồm bốn màn hình chính:
1. Chuẩn bị dữ liệu
2. Học tăng cường
3. Quy tắc CCOM
4. Đánh giá

1. Chuẩn bị dữ liệu: GUI chuẩn bị dữ liệu cho phép người dùng chỉ định các tham số khác nhau trong quá trình chuẩn bị dữ liệu bao gồm:
 một. Trình điều khiển cơ sở dữ liệu
 b. URL cơ sở dữ liệu
 c. Tên người dùng và mật khẩu cơ sở dữ liệu
 d. Tốc độ lấy mẫu

2. Học tăng cường: GUI học tăng cường cho phép người dùng chỉ định các tham số khác nhau liên quan đến mô-đun học tăng cường bao gồm:
một. Số lần lặp
b. Hằng số phân rã
c. Tỷ lệ học tập
d. Phương pháp xấp xỉ
đ. Phương pháp khởi tạo
f. Số lượng khách hàng
g. Số lượng chiến dịch
h. Các tập tin dữ liệu khác

3. Quy tắc CCOM: GUI Quy tắc CCOM cho phép các quy tắc được tạo được hiển thị theo độ chính xác, mức độ bao phủ và theo thứ tự chuẩn.  Các quy tắc được hiển thị cũng có thể được chọn theo hành động tiếp thị được dự đoán, theo tính năng, theo độ chính xác tối thiểu và mức độ phù hợp tối thiểu.

4. Đánh giá: GUI Đánh giá cho phép người dùng chỉ định các tham số khác nhau liên quan đến việc đánh giá các quy tắc CCOM, chẳng hạn như:
một. Phương pháp được sử dụng để đánh giá
b. Quy mô dân số thử nghiệm được sử dụng để đánh giá
c. Độ tin cậy thống kê mong muốn về kết quả đánh giá.


Đầu ra từ ứng dụng CCOM:
Đầu ra từ Ứng dụng CCOM có dạng quy tắc là hướng dẫn SQL để Tổ chức Tài chính áp dụng cho kho dữ liệu của họ.

CCOM được chọn làm ứng dụng không báo cáo Giá trị lâu dài của khách hàng mẫu trong quá trình phát triển Phạm vi này do các điểm khác biệt chính sau:
- Tự động tạo quy tắc nhắm mục tiêu hoàn toàn từ phân tích dữ liệu. 
- Tối ưu hóa các quy tắc nhắm mục tiêu liên quan đến tối đa hóa Giá trị trọn đời của khách hàng, trên nhiều kênh.
- Quy tắc kiểu If-Then đơn giản tương thích với các công cụ quy tắc hiện có.
- Tối đa hóa lòng trung thành của khách hàng mà không cần đo lường lòng trung thành một cách rõ ràng.

Lưu ý về phạm vi “Customer Insight - Giá trị trọn đời khách hàng” 
Phạm vi này là pr"
